Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","143,610,571.43","0.12","143,610,571.43","827,532.00","173.54","Switzerland","SIX Swiss Exchange","CHF"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","143,219,098.88","0.12","143,219,098.88","394,304.00","363.22","United States","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","142,808,748.30","0.12","142,808,748.30","700,558.00","203.85","United States","New York Stock Exchange Inc.","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","142,607,488.50","0.12","142,607,488.50","406,950.00","350.43","United States","NASDAQ","USD"
"DUK","DUKE ENERGY CORP","Utilities","Equity","141,527,273.31","0.12","141,527,273.31","1,155,419.00","122.49","United States","New York Stock Exchange Inc.","USD"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","141,428,220.63","0.12","141,428,220.63","466,796.00","302.98","France","Nyse Euronext - Euronext Paris","EUR"
"CVS","CVS HEALTH CORP","Health Care","Equity","140,594,738.90","0.12","140,594,738.90","1,922,006.00","73.15","United States","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","140,240,010.93","0.12","140,240,010.93","1,812,589.00","77.37","United States","New York Stock Exchange Inc.","USD"
"BNP","BNP PARIBAS SA","Financials","Equity","140,098,072.43","0.12","140,098,072.43","1,552,555.00","90.24","France","Nyse Euronext - Euronext Paris","EUR"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","138,673,667.60","0.12","138,673,667.60","333,671.00","415.60","United States","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","137,668,377.60","0.12","137,668,377.60","1,327,820.00","103.68","United States","NASDAQ","USD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","137,141,330.22","0.12","137,141,330.22","2,088,796.00","65.66","Canada","Toronto Stock Exchange","CAD"
"ISP","INTESA SANPAOLO","Financials","Equity","136,855,904.40","0.11","136,855,904.40","21,640,000.00","6.32","Italy","Borsa Italiana","EUR"
"BP.","BP PLC","Energy","Equity","136,827,835.03","0.11","136,827,835.03","23,427,370.00","5.84","United Kingdom","London Stock Exchange","GBP"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","135,488,302.47","0.11","135,488,302.47","598,473.00","226.39","United States","New York Stock Exchange Inc.","USD"
"KKR","KKR AND CO INC","Financials","Equity","134,375,878.13","0.11","134,375,878.13","963,337.00","139.49","United States","New York Stock Exchange Inc.","USD"
"MCK","MCKESSON CORP","Health Care","Equity","133,900,979.76","0.11","133,900,979.76","195,009.00","686.64","United States","New York Stock Exchange Inc.","USD"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","132,639,044.76","0.11","132,639,044.76","396,636.00","334.41","United States","NASDAQ","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","131,019,819.52","0.11","131,019,819.52","358,144.00","365.83","United States","New York Stock Exchange Inc.","USD"
"BMO","BANK OF MONTREAL","Financials","Equity","130,759,099.44","0.11","130,759,099.44","1,081,778.00","120.87","Canada","Toronto Stock Exchange","CAD"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","129,445,314.87","0.11","129,445,314.87","4,640,348.00","27.90","Australia","Asx - All Markets","AUD"
"REL","RELX PLC","Industrials","Equity","129,390,439.42","0.11","129,390,439.42","2,786,537.00","46.43","United Kingdom","London Stock Exchange","GBP"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","129,149,385.75","0.11","129,149,385.75","526,603.00","245.25","United States","NASDAQ","USD"
"NEM","NEWMONT","Materials","Equity","128,596,605.60","0.11","128,596,605.60","1,728,449.00","74.40","United States","New York Stock Exchange Inc.","USD"
"MMM","3M","Industrials","Equity","128,522,059.97","0.11","128,522,059.97","826,349.00","155.53","United States","New York Stock Exchange Inc.","USD"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","127,848,820.89","0.11","127,848,820.89","5,097,145.00","25.08","Australia","Asx - All Markets","AUD"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","127,638,313.52","0.11","127,638,313.52","201,006.00","635.00","Germany","Xetra","EUR"
"CS","AXA SA","Financials","Equity","126,553,703.91","0.11","126,553,703.91","2,716,424.00","46.59","France","Nyse Euronext - Euronext Paris","EUR"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","125,810,098.92","0.11","125,810,098.92","213,223.00","590.04","United States","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Equity","125,768,496.96","0.11","125,768,496.96","246,721.00","509.76","United States","New York Stock Exchange Inc.","USD"
"PRX","PROSUS NV CLASS N","Consumer Discretionary","Equity","125,761,052.12","0.11","125,761,052.12","2,041,493.00","61.60","Netherlands","Euronext Amsterdam","EUR"
"CI","CIGNA","Health Care","Equity","125,505,212.67","0.11","125,505,212.67","417,141.00","300.87","United States","New York Stock Exchange Inc.","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","125,050,018.00","0.11","125,050,018.00","602,825.00","207.44","United States","New York Stock Exchange Inc.","USD"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","124,980,375.49","0.10","124,980,375.49","4,921,520.00","25.39","Japan","Tokyo Stock Exchange","JPY"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","123,344,240.64","0.10","123,344,240.64","2,007,556.00","61.44","United States","NASDAQ","USD"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","122,229,061.28","0.10","122,229,061.28","2,100,500.00","58.19","Japan","Tokyo Stock Exchange","JPY"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","121,953,453.37","0.10","121,953,453.37","3,119,409.00","39.10","Singapore","Singapore Exchange","SGD"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","121,514,188.29","0.10","121,514,188.29","2,805,016.00","43.32","Japan","Tokyo Stock Exchange","JPY"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","120,353,077.94","0.10","120,353,077.94","6,136,424.00","19.61","United Kingdom","London Stock Exchange","GBP"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","120,116,548.84","0.10","120,116,548.84","3,689,294.00","32.56","Japan","Tokyo Stock Exchange","JPY"
"FI","FISERV INC","Financials","Equity","118,787,680.62","0.10","118,787,680.62","859,659.00","138.18","United States","New York Stock Exchange Inc.","USD"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","117,957,198.36","0.10","117,957,198.36","249,666.00","472.46","United States","New York Stock Exchange Inc.","USD"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","117,513,018.00","0.10","117,513,018.00","388,152.00","302.75","United States","New York Stock Exchange Inc.","USD"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","117,104,441.44","0.10","117,104,441.44","83,713.00","1,398.88","United States","New York Stock Exchange Inc.","USD"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","116,712,264.07","0.10","116,712,264.07","148,453.00","786.19","United States","NASDAQ","USD"
"8058","MITSUBISHI CORP","Industrials","Equity","116,557,679.25","0.10","116,557,679.25","5,119,604.00","22.77","Japan","Tokyo Stock Exchange","JPY"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","116,415,763.20","0.10","116,415,763.20","1,102,422.00","105.60","United States","New York Stock Exchange Inc.","USD"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","116,403,093.80","0.10","116,403,093.80","288,155.00","403.96","United States","New York Stock Exchange Inc.","USD"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","116,243,057.25","0.10","116,243,057.25","1,029,155.00","112.95","United States","New York Stock Exchange Inc.","USD"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","116,039,607.91","0.10","116,039,607.91","48,028.00","2,416.09","France","Nyse Euronext - Euronext Paris","EUR"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","115,240,064.74","0.10","115,240,064.74","1,107,758.00","104.03","United States","NASDAQ","USD"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","114,743,909.44","0.10","114,743,909.44","480,784.00","238.66","United States","New York Stock Exchange Inc.","USD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","113,904,606.15","0.10","113,904,606.15","1,825,900.00","62.38","Canada","Toronto Stock Exchange","CAD"
"CTAS","CINTAS CORP","Industrials","Equity","113,885,407.02","0.10","113,885,407.02","542,234.00","210.03","United States","NASDAQ","USD"
"USB","US BANCORP","Financials","Equity","113,699,043.61","0.10","113,699,043.61","2,328,467.00","48.83","United States","New York Stock Exchange Inc.","USD"
"ENEL","ENEL","Utilities","Equity","113,682,668.41","0.10","113,682,668.41","12,340,359.00","9.21","Italy","Borsa Italiana","EUR"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","113,250,911.82","0.10","113,250,911.82","348,926.00","324.57","United States","New York Stock Exchange Inc.","USD"
"EMR","EMERSON ELECTRIC","Industrials","Equity","111,937,848.00","0.09","111,937,848.00","848,014.00","132.00","United States","New York Stock Exchange Inc.","USD"
