Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"HEN","HENKEL AG","Consumer Staples","Equity","9,822,031.30","0.28","9,822,031.30","148,706.00","66.05","Germany","Xetra","EUR"
"PSON","PEARSON PLC","Consumer Discretionary","Equity","9,710,820.95","0.27","9,710,820.95","770,403.00","12.60","United Kingdom","London Stock Exchange","GBP"
"ELISA","ELISA","Communication","Equity","9,417,375.00","0.27","9,417,375.00","206,250.00","45.66","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"RXL","REXEL SA","Industrials","Equity","8,817,732.00","0.25","8,817,732.00","318,100.00","27.72","France","Nyse Euronext - Euronext Paris","EUR"
"SPX","SPIRAX GROUP PLC","Industrials","Equity","8,486,504.16","0.24","8,486,504.16","101,597.00","83.53","United Kingdom","London Stock Exchange","GBP"
"STERV","STORA ENSO CLASS R","Materials","Equity","8,146,115.52","0.23","8,146,115.52","821,181.00","9.92","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"EDPR","EDP RENOVAVEIS SA","Utilities","Equity","7,802,829.14","0.22","7,802,829.14","764,234.00","10.21","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","7,635,930.50","0.22","7,635,930.50","37,523.00","203.50","Germany","Xetra","EUR"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrials","Equity","7,546,360.01","0.21","7,546,360.01","2,136,119.00","3.53","Sweden","Nasdaq Omx Nordic","SEK"
"MNDI","MONDI PLC","Materials","Equity","7,543,115.87","0.21","7,543,115.87","631,466.00","11.95","United Kingdom","London Stock Exchange","GBP"
"BTRW","BARRATT REDROW PLC","Consumer Discretionary","Equity","7,531,757.60","0.21","7,531,757.60","1,810,364.00","4.16","United Kingdom","London Stock Exchange","GBP"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","7,493,930.34","0.21","7,493,930.34","394,833.00","18.98","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Equity","7,395,836.75","0.21","7,395,836.75","938,017.00","7.88","United Kingdom","London Stock Exchange","GBP"
"WPP","WPP PLC","Communication","Equity","7,002,908.49","0.20","7,002,908.49","1,538,627.00","4.55","United Kingdom","London Stock Exchange","GBP"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Health Care","Equity","6,996,561.17","0.20","6,996,561.17","271,600.00","25.76","Sweden","Nasdaq Omx Nordic","SEK"
"KGF","KINGFISHER PLC","Consumer Discretionary","Equity","6,994,122.85","0.20","6,994,122.85","2,354,114.00","2.97","United Kingdom","London Stock Exchange","GBP"
"GJF","GJENSIDIGE FORSIKRING","Financials","Equity","6,745,270.87","0.19","6,745,270.87","284,279.00","23.73","Norway","Oslo Bors Asa","NOK"
"IPN","IPSEN SA","Health Care","Equity","6,103,933.50","0.17","6,103,933.50","52,215.00","116.90","France","Nyse Euronext - Euronext Paris","EUR"
"SIGN","SIG GROUP N AG","Materials","Equity","5,790,880.31","0.16","5,790,880.31","431,341.00","13.43","Switzerland","SIX Swiss Exchange","CHF"
"SDR","SCHRODERS PLC","Financials","Equity","4,694,706.40","0.13","4,694,706.40","1,082,675.00","4.34","United Kingdom","London Stock Exchange","GBP"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Cash and/or Derivatives","Money Market","4,410,893.42","0.12","4,410,893.42","41,086.00","107.36","Ireland","-","EUR"
"COV","COVIVIO SA","Real Estate","Equity","4,382,419.80","0.12","4,382,419.80","78,118.00","56.10","France","Nyse Euronext - Euronext Paris","EUR"
"BCVN","BC VAUD N","Financials","Equity","4,245,911.86","0.12","4,245,911.86","42,620.00","99.62","Switzerland","SIX Swiss Exchange","CHF"
"INPST","INPOST SA","Industrials","Equity","4,190,300.08","0.12","4,190,300.08","340,952.00","12.29","Netherlands","Euronext Amsterdam","EUR"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","3,396,925.47","0.10","3,396,925.47","25,353,765.00","13.40","Denmark","-","DKK"
"DEMANT","DEMANT","Health Care","Equity","3,211,394.47","0.09","3,211,394.47","97,435.00","32.96","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","1,682,426.23","0.05","1,682,426.23","1,454,204.00","115.69","United Kingdom","-","GBP"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","1,628,970.00","0.05","1,628,970.00","1,628,970.00","100.00","European Union","-","EUR"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","122,624.36","0.00","122,624.36","1,433,602.00","8.55","Norway","-","NOK"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","113,402.33","0.00","113,402.33","106,262.00","106.72","Switzerland","-","CHF"
"USD","USD CASH","Cash and/or Derivatives","Cash","53,805.42","0.00","53,805.42","63,014.00","85.39","United States","-","USD"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","51,802.07","0.00","51,802.07","569,087.00","9.10","Sweden","-","SEK"
"GBP","GBP/EUR","Cash and/or Derivatives","FX","10.26","0.00","10.26","369,181.00","1.00","European Union","-","EUR"
"VHU5","STOXX 50 SEP 25","Cash and/or Derivatives","Futures","0.00","0.00","24,017,160.00","526.00","4,566.00","European Union","Eurex Deutschland","EUR"
 
