Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ALR","ALIOR BANK SA","Financials","Equity","8,394,719.83","0.03","8,394,719.83","297,730.00","28.20","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Equity","8,389,605.65","0.03","8,389,605.65","3,954,502.00","2.12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9896","MINISO GROUP HOLDING LTD","Consumer Discretionary","Equity","8,313,966.33","0.03","8,313,966.33","1,337,000.00","6.22","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"010120","LS ELECTRIC LTD","Industrials","Equity","8,309,268.75","0.03","8,309,268.75","42,259.00","196.63","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PRESTIGE","PRESTIGE ESTATES PROJECTS LTD","Real Estate","Equity","8,290,120.59","0.03","8,290,120.59","463,312.00","17.89","India","National Stock Exchange Of India","INR"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","8,266,124.96","0.03","8,266,124.96","145,220.00","56.92","China","Shenzhen Stock Exchange","CNY"
"WHL","WOOLWORTHS HOLDING LTD","Consumer Discretionary","Equity","8,253,225.65","0.03","8,253,225.65","2,815,837.00","2.93","South Africa","Johannesburg Stock Exchange","ZAR"
"9899","NETEASE CLOUD MUSIC INC","Communication","Equity","8,248,888.89","0.03","8,248,888.89","231,000.00","35.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TIMS3","TIM SA","Communication","Equity","8,194,118.71","0.03","8,194,118.71","1,958,830.00","4.18","Brazil","XBSP","BRL"
"270","GUANGDONG INVESTMENT LTD","Utilities","Equity","8,194,914.22","0.03","8,194,914.22","8,752,000.00","0.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300502","EOPTOLINK TECHNOLOGY INC LTD A","Information Technology","Equity","8,177,972.91","0.03","8,177,972.91","150,180.00","54.45","China","Shenzhen Stock Exchange","CNY"
"GENTERA*","GENTERA SAB DE CV","Financials","Equity","8,180,365.18","0.03","8,180,365.18","3,360,702.00","2.43","Mexico","Bolsa Mexicana De Valores","MXN"
"RAIL3","RUMO SA","Industrials","Equity","8,173,371.25","0.03","8,173,371.25","3,105,453.00","2.63","Brazil","XBSP","BRL"
"COPEC","EMPRESAS COPEC SA","Consumer Discretionary","Equity","8,158,014.03","0.03","8,158,014.03","1,088,239.00","7.50","Chile","Santiago Stock Exchange","CLP"
"QNNS","QATAR NAVIGATION","Industrials","Equity","8,159,059.43","0.03","8,159,059.43","2,621,989.00","3.11","Qatar","Qatar Exchange","QAR"
"1208","MMG LTD","Materials","Equity","8,143,792.21","0.03","8,143,792.21","11,757,600.00","0.69","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"003490","KOREAN AIR LINES LTD","Industrials","Equity","8,126,884.82","0.03","8,126,884.82","479,865.00","16.94","Korea (South)","Korea Exchange (Stock Market)","KRW"
